Week,Agent_ID,Strategy,Memory_Length,Risk_Tolerance,A_weighted,Decision,Actual_Attendance
1,0,Average,2,50,,Go,53
1,1,Average,3,57,,Go,53
1,2,Optimist,2,73,,Go,53
1,3,Optimist,4,73,,Go,53
1,4,Average,2,68,,Go,53
1,5,Pessimist,2,50,,Stay,53
1,6,Optimist,2,57,,Go,53
1,7,Average,4,50,,Go,53
1,8,Average,2,72,,Go,53
1,9,Average,4,67,,Stay,53
1,10,Pessimist,2,64,,Stay,53
1,11,Average,3,75,,Go,53
1,12,Optimist,2,72,,Go,53
1,13,Pessimist,3,58,,Stay,53
1,14,Optimist,2,74,,Go,53
1,15,Pessimist,2,52,,Stay,53
1,16,Pessimist,2,61,,Stay,53
1,17,Pessimist,4,58,,Stay,53
1,18,Optimist,4,64,,Go,53
1,19,Average,2,62,,Stay,53
1,20,Optimist,4,59,,Go,53
1,21,Average,4,61,,Stay,53
1,22,Average,2,72,,Go,53
1,23,Optimist,2,71,,Go,53
1,24,Optimist,3,52,,Go,53
1,25,Optimist,2,62,,Go,53
1,26,Pessimist,3,70,,Stay,53
1,27,Pessimist,2,61,,Stay,53
1,28,Pessimist,2,71,,Stay,53
1,29,Pessimist,4,71,,Stay,53
1,30,Average,2,69,,Stay,53
1,31,Average,2,67,,Stay,53
1,32,Average,2,55,,Stay,53
1,33,Pessimist,3,58,,Stay,53
1,34,Average,4,67,,Stay,53
1,35,Optimist,4,60,,Go,53
1,36,Optimist,2,51,,Go,53
1,37,Pessimist,3,58,,Stay,53
1,38,Optimist,2,68,,Go,53
1,39,Average,3,56,,Stay,53
1,40,Average,3,62,,Go,53
1,41,Average,3,54,,Go,53
1,42,Pessimist,2,57,,Stay,53
1,43,Average,4,67,,Go,53
1,44,Pessimist,4,68,,Stay,53
1,45,Pessimist,4,62,,Stay,53
1,46,Pessimist,2,54,,Stay,53
1,47,Average,3,52,,Go,53
1,48,Optimist,2,54,,Go,53
1,49,Average,2,75,,Go,53
1,50,Average,3,69,,Go,53
1,51,Optimist,3,62,,Go,53
1,52,Average,3,66,,Stay,53
1,53,Pessimist,4,50,,Stay,53
1,54,Average,4,53,,Go,53
1,55,Average,4,74,,Stay,53
1,56,Pessimist,4,60,,Stay,53
1,57,Optimist,3,63,,Go,53
1,58,Optimist,3,50,,Go,53
1,59,Average,4,58,,Go,53
1,60,Average,2,66,,Go,53
1,61,Optimist,4,59,,Go,53
1,62,Average,4,69,,Stay,53
1,63,Optimist,2,61,,Go,53
1,64,Optimist,4,74,,Go,53
1,65,Average,2,69,,Stay,53
1,66,Pessimist,3,50,,Stay,53
1,67,Optimist,3,75,,Go,53
1,68,Pessimist,2,51,,Stay,53
1,69,Optimist,4,52,,Go,53
1,70,Optimist,4,65,,Go,53
1,71,Optimist,4,74,,Go,53
1,72,Optimist,2,71,,Go,53
1,73,Pessimist,4,55,,Stay,53
1,74,Pessimist,4,69,,Stay,53
1,75,Pessimist,2,67,,Stay,53
1,76,Average,4,56,,Stay,53
1,77,Average,3,62,,Stay,53
1,78,Average,4,61,,Go,53
1,79,Pessimist,4,64,,Stay,53
1,80,Optimist,2,57,,Go,53
1,81,Optimist,3,50,,Go,53
1,82,Average,4,57,,Go,53
1,83,Average,2,50,,Stay,53
1,84,Optimist,4,70,,Go,53
1,85,Optimist,2,52,,Go,53
1,86,Optimist,3,52,,Go,53
1,87,Average,2,58,,Stay,53
1,88,Average,3,56,,Stay,53
1,89,Average,2,73,,Stay,53
1,90,Average,4,65,,Go,53
1,91,Optimist,3,75,,Go,53
1,92,Pessimist,2,53,,Stay,53
1,93,Optimist,4,63,,Go,53
1,94,Pessimist,3,63,,Stay,53
1,95,Pessimist,4,51,,Stay,53
1,96,Average,4,70,,Stay,53
1,97,Optimist,2,62,,Go,53
1,98,Average,3,75,,Stay,53
1,99,Optimist,2,56,,Go,53
2,0,Average,2,50,,Stay,53
2,1,Average,3,57,,Go,53
2,2,Optimist,2,73,,Go,53
2,3,Optimist,4,73,,Go,53
2,4,Average,2,68,,Stay,53
2,5,Pessimist,2,50,,Stay,53
2,6,Optimist,2,57,,Go,53
2,7,Average,4,50,,Go,53
2,8,Average,2,72,,Go,53
2,9,Average,4,67,,Stay,53
2,10,Pessimist,2,64,,Stay,53
2,11,Average,3,75,,Stay,53
2,12,Optimist,2,72,,Go,53
2,13,Pessimist,3,58,,Stay,53
2,14,Optimist,2,74,,Go,53
2,15,Pessimist,2,52,,Stay,53
2,16,Pessimist,2,61,,Stay,53
2,17,Pessimist,4,58,,Stay,53
2,18,Optimist,4,64,,Go,53
2,19,Average,2,62,,Go,53
2,20,Optimist,4,59,,Go,53
2,21,Average,4,61,,Go,53
2,22,Average,2,72,,Stay,53
2,23,Optimist,2,71,,Go,53
2,24,Optimist,3,52,,Go,53
2,25,Optimist,2,62,,Go,53
2,26,Pessimist,3,70,,Stay,53
2,27,Pessimist,2,61,,Stay,53
2,28,Pessimist,2,71,,Stay,53
2,29,Pessimist,4,71,,Stay,53
2,30,Average,2,69,,Go,53
2,31,Average,2,67,,Stay,53
2,32,Average,2,55,,Stay,53
2,33,Pessimist,3,58,,Stay,53
2,34,Average,4,67,,Go,53
2,35,Optimist,4,60,,Go,53
2,36,Optimist,2,51,,Go,53
2,37,Pessimist,3,58,,Stay,53
2,38,Optimist,2,68,,Go,53
2,39,Average,3,56,,Stay,53
2,40,Average,3,62,,Stay,53
2,41,Average,3,54,,Stay,53
2,42,Pessimist,2,57,,Stay,53
2,43,Average,4,67,,Go,53
2,44,Pessimist,4,68,,Stay,53
2,45,Pessimist,4,62,,Stay,53
2,46,Pessimist,2,54,,Stay,53
2,47,Average,3,52,,Stay,53
2,48,Optimist,2,54,,Go,53
2,49,Average,2,75,,Go,53
2,50,Average,3,69,,Go,53
2,51,Optimist,3,62,,Go,53
2,52,Average,3,66,,Stay,53
2,53,Pessimist,4,50,,Stay,53
2,54,Average,4,53,,Go,53
2,55,Average,4,74,,Go,53
2,56,Pessimist,4,60,,Stay,53
2,57,Optimist,3,63,,Go,53
2,58,Optimist,3,50,,Go,53
2,59,Average,4,58,,Stay,53
2,60,Average,2,66,,Go,53
2,61,Optimist,4,59,,Go,53
2,62,Average,4,69,,Go,53
2,63,Optimist,2,61,,Go,53
2,64,Optimist,4,74,,Go,53
2,65,Average,2,69,,Stay,53
2,66,Pessimist,3,50,,Stay,53
2,67,Optimist,3,75,,Go,53
2,68,Pessimist,2,51,,Stay,53
2,69,Optimist,4,52,,Go,53
2,70,Optimist,4,65,,Go,53
2,71,Optimist,4,74,,Go,53
2,72,Optimist,2,71,,Go,53
2,73,Pessimist,4,55,,Stay,53
2,74,Pessimist,4,69,,Stay,53
2,75,Pessimist,2,67,,Stay,53
2,76,Average,4,56,,Stay,53
2,77,Average,3,62,,Go,53
2,78,Average,4,61,,Go,53
2,79,Pessimist,4,64,,Stay,53
2,80,Optimist,2,57,,Go,53
2,81,Optimist,3,50,,Go,53
2,82,Average,4,57,,Go,53
2,83,Average,2,50,,Stay,53
2,84,Optimist,4,70,,Go,53
2,85,Optimist,2,52,,Go,53
2,86,Optimist,3,52,,Go,53
